trial,trial_condition,condition,attention,drug,count
1,1,5,2,false,22
2,1,2,2,false,16
3,1,3,2,false,17
4,2,3,2,false,10
5,1,1,1,false,8
6,2,5,2,false,27
7,1,6,2,false,28
8,2,2,2,false,22
9,2,1,1,false,20
10,3,2,2,false,15
11,1,4,1,false,31
12,3,1,1,false,25
13,4,1,1,false,27
14,2,4,1,false,19
15,3,4,1,false,18
16,2,6,2,false,26
17,4,4,1,false,34
18,4,2,2,false,18
19,5,1,1,false,24
20,3,5,2,false,19
21,3,6,2,false,22
22,5,4,1,false,20
23,4,5,2,false,17
24,4,6,2,false,22
25,6,4,1,false,24
26,5,2,2,false,19
27,3,3,2,false,15
28,5,5,2,false,25
29,4,3,2,false,22
30,5,3,2,false,21
31,6,2,2,false,22
32,5,6,2,false,33
33,6,3,2,false,16
34,6,5,2,false,20
35,6,1,1,false,26
36,6,6,2,false,13
37,7,1,1,true,14
38,7,3,2,true,9
39,7,2,2,true,7
40,7,4,1,true,11
41,8,2,2,true,11
42,7,5,2,true,10
43,9,2,2,true,7
44,8,5,2,true,18
45,7,6,2,true,11
46,9,5,2,true,15
47,10,5,2,true,8
48,8,1,1,true,14
49,9,1,1,true,6
50,8,4,1,true,11
51,10,2,2,true,9
52,9,4,1,true,8
53,8,3,2,true,8
54,9,3,2,true,7
55,10,1,1,true,9
56,10,3,2,true,3
57,8,6,2,true,10
58,9,6,2,true,18
59,10,4,1,true,2
60,11,4,1,true,15
61,10,6,2,true,11
62,11,6,2,true,6
63,11,2,2,true,8
64,12,6,2,true,11
65,12,4,1,true,13
66,11,3,2,true,8
67,11,5,2,true,5
68,12,3,2,true,7
69,12,5,2,true,3
70,11,1,1,true,16
71,12,2,2,true,3
72,12,1,1,true,11
73,13,3,2,false,16
74,13,4,1,false,34
75,14,3,2,false,20
76,13,2,2,false,16
77,15,3,2,false,23
78,14,4,1,false,14
79,13,6,2,false,16
80,14,6,2,false,12
81,16,3,2,false,16
82,15,6,2,false,21
83,13,5,2,false,10
84,14,5,2,false,7
85,14,2,2,false,12
86,17,3,2,false,9
87,13,1,1,false,15
88,18,3,2,false,22
89,15,4,1,false,22
90,15,5,2,false,13
91,16,5,2,false,13
92,15,2,2,false,22
93,16,6,2,false,19
94,16,4,1,false,17
95,14,1,1,false,17
96,15,1,1,false,22
97,16,2,2,false,13
98,17,6,2,false,19
99,17,2,2,false,13
100,17,4,1,false,25
101,18,2,2,false,15
102,17,5,2,false,18
103,16,1,1,false,27
104,17,1,1,false,17
105,18,5,2,false,15
106,18,4,1,false,29
107,18,1,1,false,30
108,19,1,1,true,10
109,19,3,2,true,12
110,20,1,1,true,12
111,19,5,2,true,9
112,20,5,2,true,12
113,21,5,2,true,13
114,19,4,1,true,13
115,20,4,1,true,18
116,22,5,2,true,9
117,23,5,2,true,13
118,21,4,1,true,11
119,24,5,2,true,14
120,18,6,2,true,10
121,19,2,2,true,5
122,19,6,2,true,11
123,20,3,2,true,23
124,20,6,2,true,9
125,21,1,1,true,12
126,22,4,1,true,7
127,20,2,2,true,12
128,21,2,2,true,8
129,22,2,2,true,5
130,21,3,2,true,8
131,22,3,2,true,5
132,23,2,2,true,10
133,21,6,2,true,23
134,23,3,2,true,7
135,22,1,1,true,15
136,24,2,2,true,12
137,23,4,1,true,10
138,22,6,2,true,9
139,23,1,1,true,15
140,24,4,1,true,12
141,23,6,2,true,8
142,24,3,2,true,12
143,24,1,1,true,13
144,24,6,2,false,22
145,25,6,2,false,22
146,25,1,1,false,18
147,26,1,1,false,20
148,25,2,2,false,14
149,25,4,1,false,18
150,25,3,2,false,15
151,26,3,2,false,15
152,27,3,2,false,20
153,25,5,2,false,17
154,26,4,1,false,24
155,26,5,2,false,19
156,26,2,2,false,19
157,27,5,2,false,20
158,26,6,2,false,23
159,28,5,2,false,17
160,27,1,1,false,35
161,27,2,2,false,20
162,28,1,1,false,27
163,27,4,1,false,29
164,27,6,2,false,13
165,29,1,1,false,34
166,28,3,2,false,20
167,28,2,2,false,18
168,28,4,1,false,23
169,29,2,2,false,21
170,28,6,2,false,25
171,30,1,1,false,26
172,29,4,1,false,30
173,29,5,2,false,16
174,29,3,2,false,27
175,30,5,2,false,10
176,30,4,1,false,26
177,29,6,2,false,12
178,30,2,2,false,16
179,30,3,2,false,28
180,30,6,2,true,14
181,31,3,2,true,15
182,31,5,2,true,14
183,31,2,2,true,16
184,32,3,2,true,22
185,32,5,2,true,9
186,32,2,2,true,17
187,33,2,2,true,8
188,33,3,2,true,22
189,33,5,2,true,8
190,34,3,2,true,16
191,34,5,2,true,14
192,31,4,1,true,18
193,32,4,1,true,21
194,31,1,1,true,18
195,34,2,2,true,13
196,35,5,2,true,12
197,32,1,1,true,11
198,33,1,1,true,18
199,35,2,2,true,11
200,31,6,2,true,11
201,32,6,2,true,14
202,34,1,1,true,17
203,35,3,2,true,17
204,35,1,1,true,23
205,33,4,1,true,14
206,34,4,1,true,19
207,33,6,2,true,15
208,36,5,2,true,10
209,34,6,2,true,8
210,36,1,1,true,23
211,35,4,1,true,17
212,36,3,2,true,12
213,35,6,2,true,16
214,36,4,1,true,19
215,36,2,2,true,11
216,36,6,2,false,29
217,37,1,1,false,28
218,37,4,1,false,32
219,37,3,2,false,27
220,38,4,1,false,28
221,38,3,2,false,30
222,37,5,2,false,19
223,38,1,1,false,32
224,39,1,1,false,34
225,40,1,1,false,45
226,37,2,2,false,19
227,38,5,2,false,25
228,38,2,2,false,27
229,39,3,2,false,36
230,37,6,2,false,28
231,39,2,2,false,26
232,41,1,1,false,46
233,39,5,2,false,34
234,40,3,2,false,25
235,40,5,2,false,18
236,38,6,2,false,46
237,42,1,1,false,31
238,41,5,2,false,23
239,39,4,1,false,39
240,41,3,2,false,20
241,42,5,2,false,16
242,39,6,2,false,38
243,40,2,2,false,23
244,41,2,2,false,25
245,40,6,2,false,26
246,42,2,2,false,19
247,40,4,1,false,30
248,41,4,1,false,38
249,41,6,2,false,29
250,42,3,2,false,22
251,42,4,1,false,41
252,43,5,2,true,25
253,44,5,2,true,15
254,43,4,1,true,31
255,43,3,2,true,12
256,43,1,1,true,21
257,44,1,1,true,18
258,43,2,2,true,12
259,45,1,1,true,22
260,45,5,2,true,10
261,46,5,2,true,8
262,44,4,1,true,24
263,47,5,2,true,18
264,44,3,2,true,13
265,45,4,1,true,13
266,44,2,2,true,9
267,45,2,2,true,14
268,42,6,2,true,9
269,46,4,1,true,6
270,47,4,1,true,16
271,46,2,2,true,11
272,47,2,2,true,12
273,48,5,2,true,23
274,43,6,2,true,18
275,46,1,1,true,22
276,45,3,2,true,15
277,46,3,2,true,15
278,47,1,1,true,17
279,48,1,1,true,27
280,44,6,2,true,14
281,47,3,2,true,14
282,45,6,2,true,13
283,48,2,2,true,11
284,48,4,1,true,28
285,48,3,2,true,21
286,46,6,2,true,19
287,47,6,2,true,27
288,49,4,1,false,43
289,49,2,2,false,29
290,49,5,2,false,11
291,50,5,2,false,28
292,48,6,2,false,40
293,49,1,1,false,44
294,49,6,2,false,33
295,50,2,2,false,44
296,50,6,2,false,35
297,50,4,1,false,43
298,50,1,1,false,46
299,51,6,2,false,32
300,51,4,1,false,38
301,52,6,2,false,23
302,52,4,1,false,37
303,49,3,2,false,28
304,51,2,2,false,25
305,52,2,2,false,28
